0.0,0.429569160998,166.708669355,0.0304761904762
0.429569160998,18.0302947846,169.931282512,0.720453514739
18.0302947846,47.4267573696,169.942196532,18.2098412698
47.4267573696,53.6380952381,123.046875,47.4267573696
53.6380952381,55.1241723356,120.185319767,53.6380952381
55.1241723356,56.1690702948,123.046875,55.1241723356
56.1690702948,66.7573696145,126.048018293,56.1690702948
66.7573696145,68.4408163265,123.046875,66.8270294785
68.4408163265,69.067755102,120.185319767,68.4408163265
69.067755102,69.996553288,117.453835227,69.067755102
69.996553288,72.9919274376,114.84375,70.3158276644
72.9919274376,77.3456689342,170.709677419,73.1126077098
77.3456689342,79.307755102,114.84375,77.532154195
79.307755102,103.166258503,169.637132966,79.4405895692
103.166258503,104.721995465,169.789527721,103.452154195
104.721995465,105.383764172,172.265625,104.867120181
105.383764172,107.194920635,84.8947638604,105.566621315
107.194920635,109.64462585,169.604512531,107.332947846
109.64462585,113.197278912,170.226453937,109.808163265
113.197278912,114.265396825,135.999177632,113.333696145
114.265396825,185.469387755,169.974947003,114.544421769
185.469387755,201.212517007,170.084206467,185.629183673
201.212517007,206.019047619,169.789527721,201.391020408
206.019047619,210.407619048,190.524193548,206.321632653
